,market_id,created_at,store_id,subtotal,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_store_to_consumer_driving_duration,delivery_id,linear_ests
0,3.0,2015-02-25 02:22:30,5477,7500,4.0,4.0,4.0,670.0,194096,3055.0
1,3.0,2015-02-25 01:14:19,5477,7100,4.0,1.0,1.0,446.0,236895,2732.0
2,4.0,2015-02-22 02:27:44,5477,4500,9.0,7.0,6.0,504.0,190868,2517.0
3,3.0,2015-02-25 01:32:39,5477,1700,3.0,3.0,3.0,687.0,183076,3081.0
4,1.0,2015-02-24 05:20:45,2841,3150,4.0,4.0,4.0,528.0,186200,3059.0
5,1.0,2015-02-22 01:43:41,2841,6815,5.0,3.0,3.0,837.0,86219,3409.0
6,1.0,2015-02-23 20:09:23,4139,850,11.0,11.0,16.0,698.0,35439,3342.0
7,1.0,2015-02-22 05:57:23,5058,1700,11.0,10.0,10.0,502.0,123927,2977.0
8,1.0,2015-02-25 04:19:59,5058,2179,20.0,24.0,28.0,54.0,107026,2531.0
9,1.0,2015-02-22 02:24:32,5058,1800,26.0,26.0,20.0,54.0,90341,2229.0
10,3.0,2015-02-19 04:44:34,2004,1500,15.0,14.0,10.0,87.0,50475,2173.0
11,3.0,2015-02-20 20:50:38,2004,3900,26.0,21.0,20.0,337.0,221414,2435.0
12,3.0,2015-02-19 01:53:26,2004,4300,28.0,24.0,21.0,662.0,119153,2801.0
13,3.0,2015-02-22 05:52:27,2004,4200,12.0,12.0,13.0,739.0,248838,3121.0
14,3.0,2015-02-19 02:06:26,2004,3300,30.0,30.0,30.0,272.0,125516,2428.0
15,3.0,2015-02-22 03:07:17,2004,1800,37.0,32.0,31.0,466.0,240286,2540.0
16,3.0,2015-02-19 20:47:17,2004,2000,23.0,23.0,22.0,466.0,33116,2683.0
17,3.0,2015-02-18 21:00:36,2004,3000,22.0,22.0,26.0,450.0,237801,2775.0
18,4.0,2015-02-19 02:07:38,2004,1800,30.0,30.0,30.0,466.0,102948,2414.0
19,3.0,2015-02-25 02:20:28,2004,4800,30.0,30.0,36.0,359.0,26470,2664.0
20,3.0,2015-02-22 01:38:24,1984,3180,22.0,17.0,17.0,765.0,210063,3009.0
21,3.0,2015-02-23 01:18:17,4905,2596,44.0,36.0,40.0,390.0,76850,2473.0
22,3.0,2015-02-25 03:26:38,4905,3359,40.0,40.0,42.0,517.0,144841,2725.0
23,4.0,2015-02-22 19:53:34,4905,1383,16.0,16.0,25.0,517.0,195839,2740.0
24,3.0,2015-02-22 22:34:28,4905,2062,24.0,23.0,14.0,822.0,52177,2936.0
25,3.0,2015-02-21 22:24:40,1698,675,5.0,5.0,6.0,751.0,64485,3172.0
26,3.0,2015-02-23 00:52:07,1698,4169,16.0,16.0,26.0,1046.0,150042,3676.0
27,3.0,2015-02-23 04:40:34,1698,1125,6.0,6.0,7.0,449.0,41052,2791.0
28,3.0,2015-02-19 01:01:21,1698,675,4.0,2.0,2.0,778.0,193495,3160.0
29,3.0,2015-02-20 20:59:45,1698,2500,9.0,7.0,4.0,434.0,165249,2642.0
30,3.0,2015-02-22 21:21:54,1698,1275,8.0,5.0,4.0,775.0,236833,3100.0
31,3.0,2015-02-21 03:18:37,1698,1700,11.0,11.0,6.0,370.0,214592,2539.0
32,3.0,2015-02-22 18:12:31,1698,1900,2.0,2.0,4.0,608.0,75705,3030.0
33,4.0,2015-02-20 04:44:51,1936,1500,55.0,35.0,52.0,742.0,51283,2703.0
34,4.0,2015-02-24 04:20:55,1936,3650,64.0,44.0,70.0,985.0,169532,3153.0
35,4.0,2015-02-21 02:41:58,1936,10550,138.0,136.0,234.0,410.0,182602,3863.0
36,4.0,2015-02-22 01:47:02,1936,3850,89.0,85.0,184.0,533.0,217450,4255.0
37,4.0,2015-02-24 20:39:05,1936,7750,71.0,70.0,104.0,284.0,108883,2692.0
38,4.0,2015-02-21 03:13:37,1936,2350,136.0,134.0,258.0,697.0,234476,4785.0
39,4.0,2015-02-21 04:28:53,1936,2450,97.0,95.0,127.0,64.0,127581,2229.0
40,3.0,2015-02-20 21:56:26,4180,2898,2.0,2.0,2.0,792.0,49108,3217.0
41,3.0,2015-02-22 03:28:29,4180,3398,7.0,7.0,13.0,481.0,184983,2932.0
42,5.0,2015-02-19 21:07:25,6015,1796,13.0,10.0,10.0,543.0,120400,2734.0
43,5.0,2015-02-24 18:48:35,6015,559,4.0,1.0,1.0,505.0,157120,2732.0
44,5.0,2015-02-22 05:29:15,6015,889,12.0,12.0,15.0,570.0,110989,2880.0
45,5.0,2015-02-22 19:02:23,6015,1918,7.0,7.0,9.0,507.0,81772,2805.0
46,5.0,2015-02-21 05:41:53,6015,1873,12.0,9.0,8.0,374.0,84725,2507.0
47,5.0,2015-02-21 23:10:14,6015,3712,11.0,11.0,15.0,499.0,14678,2818.0
48,6.0,2015-02-25 02:09:04,976,3500,,,,981.0,232839,
49,6.0,2015-02-24 01:48:07,976,5000,,,,1311.0,53138,
50,6.0,2015-02-24 18:13:08,976,1850,,,,494.0,99809,
51,4.0,2015-02-24 18:34:08,5081,11845,28.0,15.0,15.0,644.0,250568,2457.0
52,4.0,2015-02-23 23:25:35,5081,1245,19.0,18.0,23.0,452.0,23428,2544.0
53,4.0,2015-02-20 21:18:31,5081,950,65.0,55.0,56.0,569.0,211741,2241.0
54,4.0,2015-02-23 01:34:19,5081,1945,101.0,73.0,120.0,304.0,28721,2450.0
55,4.0,2015-02-25 01:04:01,5081,15295,74.0,64.0,72.0,929.0,13046,2794.0
56,4.0,2015-02-22 05:41:14,5081,1945,32.0,32.0,54.0,304.0,120976,2672.0
57,4.0,2015-02-25 05:44:39,5081,1275,20.0,18.0,19.0,496.0,235804,2494.0
58,4.0,2015-02-25 05:37:20,5081,3490,21.0,18.0,17.0,531.0,237211,2475.0
59,4.0,2015-02-20 00:15:25,5081,950,28.0,28.0,40.0,155.0,101398,2293.0
60,4.0,2015-02-22 00:40:40,5081,925,51.0,51.0,73.0,995.0,117193,3437.0
61,4.0,2015-02-24 05:41:49,5081,2050,18.0,15.0,16.0,425.0,215135,2401.0
62,4.0,2015-02-21 21:57:03,5081,1639,60.0,50.0,69.0,462.0,67787,2518.0
63,4.0,2015-02-22 06:18:20,5081,2245,27.0,26.0,30.0,222.0,187307,2196.0
64,4.0,2015-02-21 23:56:06,5081,5100,39.0,39.0,46.0,538.0,1154,2608.0
65,4.0,2015-02-21 21:56:06,5081,2300,56.0,47.0,68.0,582.0,98407,2745.0
66,4.0,2015-02-19 18:50:18,5081,850,47.0,46.0,79.0,686.0,6183,3292.0
67,4.0,2015-02-22 19:45:05,5081,4650,45.0,45.0,59.0,619.0,18915,2828.0
68,4.0,2015-02-22 00:13:31,5081,4435,48.0,36.0,47.0,432.0,224350,2341.0
69,4.0,2015-02-20 01:32:08,5081,2370,101.0,97.0,109.0,958.0,114015,2866.0
70,4.0,2015-02-18 19:01:53,5081,2395,65.0,57.0,73.0,672.0,9734,2719.0
71,4.0,2015-02-24 02:38:28,5081,2595,98.0,70.0,133.0,598.0,19998,3173.0
72,4.0,2015-02-22 00:54:15,5081,4760,56.0,55.0,92.0,553.0,42148,3167.0
73,4.0,2015-02-19 02:47:28,5081,1670,110.0,109.0,164.0,342.0,211635,3016.0
74,4.0,2015-02-18 18:51:04,5081,900,49.0,47.0,71.0,626.0,115361,3001.0
