market_id,created_at,store_id,subtotal,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_store_to_consumer_driving_duration,delivery_id
3,2015-02-25 02:22:30,5477,7500,4,4,4,670,194096
3,2015-02-25 01:14:19,5477,7100,4,1,1,446,236895
4,2015-02-22 02:27:44,5477,4500,9,7,6,504,190868
3,2015-02-25 01:32:39,5477,1700,3,3,3,687,183076
1,2015-02-24 05:20:45,2841,3150,4,4,4,528,186200
1,2015-02-22 01:43:41,2841,6815,5,3,3,837,86219
1,2015-02-23 20:09:23,4139,850,11,11,16,698,35439
1,2015-02-22 05:57:23,5058,1700,11,10,10,502,123927
1,2015-02-25 04:19:59,5058,2179,20,24,28,54,107026
1,2015-02-22 02:24:32,5058,1800,26,26,20,54,90341
3,2015-02-19 04:44:34,2004,1500,15,14,10,87,50475
3,2015-02-20 20:50:38,2004,3900,26,21,20,337,221414
3,2015-02-19 01:53:26,2004,4300,28,24,21,662,119153
3,2015-02-22 05:52:27,2004,4200,12,12,13,739,248838
3,2015-02-19 02:06:26,2004,3300,30,30,30,272,125516
3,2015-02-22 03:07:17,2004,1800,37,32,31,466,240286
3,2015-02-19 20:47:17,2004,2000,23,23,22,466,33116
3,2015-02-18 21:00:36,2004,3000,22,22,26,450,237801
4,2015-02-19 02:07:38,2004,1800,30,30,30,466,102948
3,2015-02-25 02:20:28,2004,4800,30,30,36,359,26470
3,2015-02-22 01:38:24,1984,3180,22,17,17,765,210063
3,2015-02-23 01:18:17,4905,2596,44,36,40,390,76850
3,2015-02-25 03:26:38,4905,3359,40,40,42,517,144841
4,2015-02-22 19:53:34,4905,1383,16,16,25,517,195839
3,2015-02-22 22:34:28,4905,2062,24,23,14,822,52177
3,2015-02-21 22:24:40,1698,675,5,5,6,751,64485
3,2015-02-23 00:52:07,1698,4169,16,16,26,1046,150042
3,2015-02-23 04:40:34,1698,1125,6,6,7,449,41052
3,2015-02-19 01:01:21,1698,675,4,2,2,778,193495
3,2015-02-20 20:59:45,1698,2500,9,7,4,434,165249
3,2015-02-22 21:21:54,1698,1275,8,5,4,775,236833
3,2015-02-21 03:18:37,1698,1700,11,11,6,370,214592
3,2015-02-22 18:12:31,1698,1900,2,2,4,608,75705
4,2015-02-20 04:44:51,1936,1500,55,35,52,742,51283
4,2015-02-24 04:20:55,1936,3650,64,44,70,985,169532
4,2015-02-21 02:41:58,1936,10550,138,136,234,410,182602
4,2015-02-22 01:47:02,1936,3850,89,85,184,533,217450
4,2015-02-24 20:39:05,1936,7750,71,70,104,284,108883
4,2015-02-21 03:13:37,1936,2350,136,134,258,697,234476
4,2015-02-21 04:28:53,1936,2450,97,95,127,64,127581
3,2015-02-20 21:56:26,4180,2898,2,2,2,792,49108
3,2015-02-22 03:28:29,4180,3398,7,7,13,481,184983
5,2015-02-19 21:07:25,6015,1796,13,10,10,543,120400
5,2015-02-24 18:48:35,6015,559,4,1,1,505,157120
5,2015-02-22 05:29:15,6015,889,12,12,15,570,110989
5,2015-02-22 19:02:23,6015,1918,7,7,9,507,81772
5,2015-02-21 05:41:53,6015,1873,12,9,8,374,84725
5,2015-02-21 23:10:14,6015,3712,11,11,15,499,14678
6,2015-02-25 02:09:04,976,3500,NA,NA,NA,981,232839
6,2015-02-24 01:48:07,976,5000,NA,NA,NA,1311,53138
6,2015-02-24 18:13:08,976,1850,NA,NA,NA,494,99809
4,2015-02-24 18:34:08,5081,11845,28,15,15,644,250568
4,2015-02-23 23:25:35,5081,1245,19,18,23,452,23428
4,2015-02-20 21:18:31,5081,950,65,55,56,569,211741
4,2015-02-23 01:34:19,5081,1945,101,73,120,304,28721
4,2015-02-25 01:04:01,5081,15295,74,64,72,929,13046
4,2015-02-22 05:41:14,5081,1945,32,32,54,304,120976
4,2015-02-25 05:44:39,5081,1275,20,18,19,496,235804
4,2015-02-25 05:37:20,5081,3490,21,18,17,531,237211
4,2015-02-20 00:15:25,5081,950,28,28,40,155,101398
4,2015-02-22 00:40:40,5081,925,51,51,73,995,117193
4,2015-02-24 05:41:49,5081,2050,18,15,16,425,215135
4,2015-02-21 21:57:03,5081,1639,60,50,69,462,67787
4,2015-02-22 06:18:20,5081,2245,27,26,30,222,187307
4,2015-02-21 23:56:06,5081,5100,39,39,46,538,1154
4,2015-02-21 21:56:06,5081,2300,56,47,68,582,98407
4,2015-02-19 18:50:18,5081,850,47,46,79,686,6183
4,2015-02-22 19:45:05,5081,4650,45,45,59,619,18915
4,2015-02-22 00:13:31,5081,4435,48,36,47,432,224350
4,2015-02-20 01:32:08,5081,2370,101,97,109,958,114015
4,2015-02-18 19:01:53,5081,2395,65,57,73,672,9734
4,2015-02-24 02:38:28,5081,2595,98,70,133,598,19998
4,2015-02-22 00:54:15,5081,4760,56,55,92,553,42148
4,2015-02-19 02:47:28,5081,1670,110,109,164,342,211635
4,2015-02-18 18:51:04,5081,900,49,47,71,626,115361
4,2015-02-21 19:28:28,5081,2890,42,40,53,596,163220
4,2015-02-20 02:04:02,5081,2345,115,107,156,447,157797
4,2015-02-18 19:06:41,5081,3515,64,62,113,295,13337
4,2015-02-23 05:52:08,5081,1745,18,14,13,545,6507
4,2015-02-19 00:35:04,5081,6806,48,48,65,830,42062
4,2015-02-18 19:48:55,5081,1700,79,79,142,627,192674
4,2015-02-23 02:15:11,5081,2290,120,98,166,670,83456
4,2015-02-25 05:33:11,5081,1345,24,21,21,439,226554
4,2015-02-25 02:20:42,5081,3815,113,111,171,387,45602
4,2015-02-19 03:55:31,5081,3395,100,89,121,331,228776
4,2015-02-20 06:18:12,5081,1245,9,6,7,582,127211
4,2015-02-24 18:43:28,5081,1050,34,18,18,688,139323
1,2015-02-24 00:34:45,3994,1875,0,0,0,519,200710
1,2015-02-21 03:48:59,3994,4600,0,0,0,366,135310
1,2015-02-20 01:40:57,3994,5320,0,0,0,769,240727
1,2015-02-23 03:52:37,3994,2570,0,0,0,880,12509
1,2015-02-20 03:02:04,3994,1690,0,0,0,599,125897
4,2015-02-25 01:12:46,6395,1584,86,73,101,812,112110
4,2015-02-22 03:39:25,6395,824,94,94,140,897,5486
4,2015-02-21 22:40:34,6395,1348,46,46,50,719,105831
4,2015-02-22 04:56:56,6395,830,56,55,94,158,86840
3,2015-02-23 02:01:58,6395,949,121,93,152,271,51034
1,2015-02-20 03:34:22,6517,2000,27,27,33,275,225545
4,2015-02-23 20:08:50,6584,2300,69,69,121,224,169104
4,2015-02-18 19:19:25,6584,945,67,65,112,533,41676
4,2015-02-25 02:10:13,4003,1570,109,106,165,121,108010
4,2015-02-25 01:54:27,6395,1616,100,99,152,659,238500
